"ENTITY_ID","LAT","LON","CITY","STATE","ZIP","NAICS","NAICS_DESCRIPTION","BUSINESS_TYPE","REVENUE_PER_SQM","SALES_PER_STORE","YEAR","MONTH"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",472,472,"2015","01"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",478,478,"2015","02"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",481,481,"2015","03"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",486,486,"2015","04"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",492,492,"2015","05"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",501,501,"2015","06"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",513,513,"2015","07"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",525,525,"2015","08"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",536,536,"2015","09"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",548,548,"2015","10"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",557,557,"2015","11"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",562,562,"2015","12"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",563,563,"2016","01"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",563,563,"2016","02"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",563,563,"2016","03"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",561,561,"2016","04"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",558,558,"2016","05"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",555,555,"2016","06"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",553,553,"2016","07"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",554,554,"2016","08"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",556,556,"2016","09"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",553,553,"2016","10"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",551,551,"2016","11"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",552,552,"2016","12"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",559,559,"2017","01"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",571,571,"2017","02"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",589,589,"2017","03"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",601,601,"2017","04"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",610,610,"2017","05"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",618,618,"2017","06"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",627,627,"2017","07"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",636,636,"2017","08"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",644,644,"2017","09"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",653,653,"2017","10"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",661,661,"2017","11"
1000,25.68614,-80.39572,"Miami","FL","33186","443142","Electronics Stores","Electronics store",668,668,"2017","12"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",881,881,"2015","01"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",882,882,"2015","02"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",882,882,"2015","03"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",878,878,"2015","04"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",877,877,"2015","05"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",886,886,"2015","06"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",907,907,"2015","07"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",927,927,"2015","08"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",943,943,"2015","09"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",950,950,"2015","10"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",951,951,"2015","11"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",952,952,"2015","12"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",954,954,"2016","01"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",954,954,"2016","02"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",953,953,"2016","03"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",957,957,"2016","04"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",967,967,"2016","05"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",979,979,"2016","06"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",988,988,"2016","07"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",993,993,"2016","08"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",1000,1000,"2016","09"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",1004,1004,"2016","10"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",1004,1004,"2016","11"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",1008,1008,"2016","12"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",1014,1014,"2017","01"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",1017,1017,"2017","02"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",1024,1024,"2017","03"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",1028,1028,"2017","04"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",1030,1030,"2017","05"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",1034,1034,"2017","06"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",1037,1037,"2017","07"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",1034,1034,"2017","08"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",1030,1030,"2017","09"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",1037,1037,"2017","10"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",1047,1047,"2017","11"
1001,40.77032,-73.98196,"New York","NY","10023","443142","Electronics Stores","Electronics store",1056,1056,"2017","12"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",200,200,"2015","01"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",200,200,"2015","02"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",201,201,"2015","03"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",204,204,"2015","04"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",206,206,"2015","05"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",208,208,"2015","06"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",210,210,"2015","07"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",214,214,"2015","08"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",215,215,"2015","09"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",216,216,"2015","10"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",217,217,"2015","11"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",217,217,"2015","12"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",217,217,"2016","01"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",218,218,"2016","02"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",218,218,"2016","03"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",217,217,"2016","04"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",218,218,"2016","05"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",220,220,"2016","06"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",220,220,"2016","07"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",220,220,"2016","08"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",222,222,"2016","09"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",223,223,"2016","10"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",222,222,"2016","11"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",221,221,"2016","12"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",223,223,"2017","01"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",224,224,"2017","02"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",223,223,"2017","03"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",224,224,"2017","04"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",227,227,"2017","05"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",230,230,"2017","06"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",232,232,"2017","07"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",234,234,"2017","08"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",238,238,"2017","09"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",241,241,"2017","10"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",244,244,"2017","11"
1002,26.14593,-80.312,"Plantation","FL","33323","443142","Electronics Stores","Electronics store",247,247,"2017","12"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",424,424,"2015","01"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",425,425,"2015","02"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",426,426,"2015","03"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",429,429,"2015","04"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",430,430,"2015","05"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",433,433,"2015","06"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",437,437,"2015","07"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",440,440,"2015","08"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",443,443,"2015","09"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",445,445,"2015","10"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",444,444,"2015","11"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",443,443,"2015","12"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",443,443,"2016","01"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",446,446,"2016","02"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",453,453,"2016","03"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",460,460,"2016","04"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",467,467,"2016","05"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",471,471,"2016","06"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",476,476,"2016","07"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",482,482,"2016","08"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",486,486,"2016","09"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",486,486,"2016","10"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",485,485,"2016","11"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",486,486,"2016","12"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",490,490,"2017","01"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",493,493,"2017","02"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",493,493,"2017","03"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",494,494,"2017","04"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",498,498,"2017","05"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",503,503,"2017","06"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",509,509,"2017","07"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",514,514,"2017","08"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",521,521,"2017","09"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",530,530,"2017","10"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",535,535,"2017","11"
1003,26.1207,-80.25269,"Plantation","FL","33388","443142","Electronics Stores","Electronics store",539,539,"2017","12"
1004,41.30992,-73.87357,"Mohegan Lake","NY","10547","443142","Electronics Stores","Electronics store",1312,1312,"2015","01"
1004,41.30992,-73.87357,"Mohegan Lake","NY","10547","443142","Electronics Stores","Electronics store",1299,1299,"2015","02"
1004,41.30992,-73.87357,"Mohegan Lake","NY","10547","443142","Electronics Stores","Electronics store",1290,1290,"2015","03"
1004,41.30992,-73.87357,"Mohegan Lake","NY","10547","443142","Electronics Stores","Electronics store",1290,1290,"2015","04"
1004,41.30992,-73.87357,"Mohegan Lake","NY","10547","443142","Electronics Stores","Electronics store",1302,1302,"2015","05"
1004,41.30992,-73.87357,"Mohegan Lake","NY","10547","443142","Electronics Stores","Electronics store",1311,1311,"2015","06"
1004,41.30992,-73.87357,"Mohegan Lake","NY","10547","443142","Electronics Stores","Electronics store",1320,1320,"2015","07"
1004,41.30992,-73.87357,"Mohegan Lake","NY","10547","443142","Electronics Stores","Electronics store",1341,1341,"2015","08"
1004,41.30992,-73.87357,"Mohegan Lake","NY","10547","443142","Electronics Stores","Electronics store",1382,1382,"2015","09"
1004,41.30992,-73.87357,"Mohegan Lake","NY","10547","443142","Electronics Stores","Electronics store",1427,1427,"2015","10"
1004,41.30992,-73.87357,"Mohegan Lake","NY","10547","443142","Electronics Stores","Electronics store",1466,1466,"2015","11"
1004,41.30992,-73.87357,"Mohegan Lake","NY","10547","443142","Electronics Stores","Electronics store",1490,1490,"2015","12"
1004,41.30992,-73.87357,"Mohegan Lake","NY","10547","443142","Electronics Stores","Electronics store",1496,1496,"2016","01"
1004,41.30992,-73.87357,"Mohegan Lake","NY","10547","443142","Electronics Stores","Electronics store",1485,1485,"2016","02"
1004,41.30992,-73.87357,"Mohegan Lake","NY","10547","443142","Electronics Stores","Electronics store",1473,1473,"2016","03"
1004,41.30992,-73.87357,"Mohegan Lake","NY","10547","443142","Electronics Stores","Electronics store",1460,1460,"2016","04"
1004,41.30992,-73.87357,"Mohegan Lake","NY","10547","443142","Electronics Stores","Electronics store",1446,1446,"2016","05"
