"ENTITY_ID","LAT","LON","CITY","STATE","ZIP","NAICS","NAICS_DESCRIPTION","BUSINESS_TYPE","SALES_PER_LOCATION","YEAR","MONTH"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3250965,"2015","01"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3229848,"2015","02"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3234517,"2015","03"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3261002,"2015","04"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3241876,"2015","05"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3365698,"2015","06"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3337889,"2015","07"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3433086,"2015","08"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3469412,"2015","09"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3533911,"2015","10"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3707824,"2015","11"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3672256,"2015","12"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3623969,"2016","01"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3601319,"2016","02"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3477571,"2016","03"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3564322,"2016","04"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3529244,"2016","05"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3506108,"2016","06"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3578157,"2016","07"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3624949,"2016","08"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3828128,"2016","09"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3882171,"2016","10"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3794463,"2016","11"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3858763,"2016","12"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3900000,"2017","01"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3840419,"2017","02"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3712874,"2017","03"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3795875,"2017","04"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3894971,"2017","05"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3896832,"2017","06"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3747635,"2017","07"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3775156,"2017","08"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3763800,"2017","09"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3890255,"2017","10"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3876434,"2017","11"
1000,40.74628,-73.98902,"New York","NY","10001","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",3824549,"2017","12"
1001,25.9577,-80.14677,"Miami","FL","33180","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",1556872,"2015","01"
1001,25.9577,-80.14677,"Miami","FL","33180","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",1562096,"2015","02"
1001,25.9577,-80.14677,"Miami","FL","33180","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",1552946,"2015","03"
1001,25.9577,-80.14677,"Miami","FL","33180","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",1562636,"2015","04"
1001,25.9577,-80.14677,"Miami","FL","33180","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",1574174,"2015","05"
1001,25.9577,-80.14677,"Miami","FL","33180","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","Sunglass store",1589076,"2015","06"
